location,y,x,locationType,,,
Soppeng village,-4.338679,119.918229,Rural,,,
Tumani,0.927404,124.531258,Rural,,,
Samar,12.343112,125.035149,Rural,,,
Pangasinan,15.948691,120.310432,Rural,,,
Lupon,7.107716,126.175123,Rural,,,
Calinan,7.185262,125.422764,Rural,,,
Patag,10.714156,123.177813,Rural,,,
Calinawan,14.543137,121.317432,Rural,,,
Wanie Rukula,0.19711,25.529651,Rural,,,
Yavarí-Mirín,-4.489159,-71.827044,Rural,,,
Yavarí,-4.389044,-72.001669,Rural,,,
Mong La,21.671969,100.006783,Rural,,,
Keng Tung,21.283997,99.59741,Rural,,,
Golden rock,17.483229,97.098858,Rural,,,
Daobly market,5.839281,-7.513857,Rural,,,
Lusambo,-4.972184,23.441133,Rural,,,
Carajás Mineral Complex,-6.065062,-50.17196,Rural,,,
Tucuruí hydroelectric dam,-3.782003,-49.669282,Rural,,,
Moramanga region of eastern Madagascar,-18.9517,48.228381,Rural,,,
Ngeleza,0.041628,29.341789,Rural,,,
Makaw,26.412355,96.706853,Rural,,,
Nara,9.230736,118.327795,Rural,,,
Tagbanua,11.893207,120.001599,Rural,,,
Nyaung Lay Pin,17.952833,96.71822,Rural,,,
Myo Chaung,18.078489,96.466484,Rural,,,
Monga,21.668787,100.009029,Rural,,,
Lai Zar,24.752961,97.550722,Rural,,,
Vijaynagar-Gandhigram in Changlang district,27.194711,96.995423,Rural,,,
village of Sendje,1.56435,9.819137,Rural,,,
Niokolo Koba,13.074932,-12.72235,Rural,,,
Kalima,-2.565587,26.618051,Rural,,,
Punia,-1.447824,26.406915,Rural,,,
Pangi,-3.175664,26.629046,Rural,,,
Katako-Kombe,-3.396624,24.418087,Rural,,,
Lomela,-2.281559,23.365399,Rural,,,
Buta,2.802001,24.732277,Rural,,,
Aketi,2.739871,23.784527,Rural,,,
Tram me,17.584802,106.275747,Rural,,,
Arec village,15.944721,107.576706,Rural,,,
Bhohoog village,15.961944,107.760566,Rural,,,
Omagwa,4.994265,6.915165,Rural,,,
Oyigbo,4.886615,7.134293,Rural,,,
Mbiama,5.06428,6.446955,Rural,,,
Karakelang,4.324411,126.837366,Rural,,,
Luang Namtha,20.95744,101.398313,Rural,,,
Saddan-Sin cave,16.874756,97.626282,Rural,,,
Phu Khieo sanctuary,16.498122,101.758156,Rural,,,
Chiang Khan,17.845363,101.664719,Rural,,,
Con Cuông District,19.048526,104.884986,Rural,,,
Kho Mường,20.448429,105.15314,Rural,,,
Wuming District,23.15499,108.278896,Rural,,,
Bimah,9.677731,1.35719,Rural,,,
Buea,4.155361,9.251164,Rural,,,
Ouesso,1.616063,16.049867,Rural,,,
Ife,7.489754,4.545414,Rural,,,
Pemba,-5.170199,39.822271,Rural,,,
Cwebe,-32.192082,28.92277,Rural,,,
Ntubeni,-32.311101,28.797859,Rural,,,
Nxaxo,-32.45977,28.426952,Rural,,,
Ha-Gondo,-22.782206,30.813923,Rural,,,
KwaJobe,-27.600297,32.33302,Rural,,,
Nkandla,-28.623716,31.089443,Rural,,,
KwaDlangezwa,-28.855662,31.84239,Rural,,,
Mbodweni,-29.940037,30.77817,Rural,,,
Wartburg,-29.432013,30.575823,Rural,,,
Estcourt,-29.012754,29.864909,Rural,,,
Creighton,-30.027712,29.8414,Rural,,,
Mount Frere,-30.894669,28.993143,Rural,,,
Ntilini,-31.999021,29.007207,Rural,,,
Moloundou,2.044456,15.215864,Rural,,,
Meatu District,-3.52202,34.307025,Rural,,,
Samburu,0.981788,37.323657,Rural,,,
Kitui District,-1.375165,37.998471,Rural,,,
Chivhu,-19.008565,30.897673,Rural,,,
Dzalanyama,-14.249579,33.443243,Rural,,,
Puerto Nariño,-3.788846,-70.355422,Rural,,,
Leticia,-4.214049,-69.940914,Rural,,,
Caballococha,-3.909718,-70.517581,Rural,,,
Tabatinga,-4.230605,-69.937567,Rural,,,
Benjamin Constant,-4.375689,-70.029919,Rural,,,
Boe,11.745188,-14.216274,Rural,,,
Culango,-12.353956,13.817439,Rural,,,
Vista Alegre,-8.288952,14.803875,Rural,,,
Piri,-8.533614,14.435742,Rural,,,
Bengo,-6.73759,14.771794,Rural,,,
Dassioko,5.113832,-5.836735,Rural,,,
Lélédou,5.116544,-5.786716,Rural,,,
Dagbégo 2,5.053825,-5.952662,Rural,,,
Tambura,5.59866,27.473684,Rural,,,
Maridi,4.91472,29.46649,Rural,,,
Ezo,5.070979,27.469417,Rural,,,
Doruma,4.718374,27.682039,Rural,,,
Lalehun,7.684742,-10.97207,Rural,,,
Mansiramoribaya,10.31784,-10.497867,Rural,,,
Sirakoro,10.253482,-10.465658,Rural,,,
Koumandi Koura,10.205088,-10.313576,Rural,,,
Sam Nuea,20.427384,104.020981,Rural,,,
Ban That Hium,20.09056,103.371575,Rural,,,
Muang Xon,20.457534,103.348603,Rural,,,
Muang Peun,20.198332,103.883092,Rural,,,
Muang Peu,20.723048,103.399121,Rural,,,
Kidwera,1.796162,31.683719,Rural,,,
Busindi,1.849057,31.764187,Rural,,,
Busingiro,1.733809,31.467053,Rural,,,
Nyabyeya,1.676031,31.549329,Rural,,,
Kichubanyobo,1.852862,31.709381,Rural,,,
Obuasi,6.202177,-1.696576,Rural,,,
Idete,-8.088585,36.485798,Rural,,,
Kiyongwile,-8.153574,36.686821,Rural,,,
Mbingu,-8.190849,36.256613,Rural,,,
Mpofu,-8.180105,36.218634,Rural,,,
Kidatu,-7.702586,36.955059,Rural,,,
Mkamba,-7.683454,36.965703,Rural,,,
Msolwa,-7.738498,36.926873,Rural,,,
Avakpa,6.677948,2.04164,Rural,,,
Tokpa-Avagouda,6.701289,2.060335,Rural,,,
Wansampobreampa,6.061958,-2.730386,Rural,,,
Kabo,2.039679,16.086066,Rural,,,
Pokola,1.40925,16.325088,Rural,,,
Kinyantale,0.615197,30.460104,Rural,,,
Bisaka,0.518497,30.521487,Rural,,,
Anosibe an 'Ala,-19.424408,48.208404,Rural,,,
Akok,2.786799,10.279337,Rural,,,
Awae II,3.903373,11.882689,Rural,,,
Nkométou III,4.075872,11.552446,Rural,,,
Agoi Efut,5.620912,8.102106,Rural,,,
Iko Akperem,5.637926,8.195992,Rural,,,
Iko Esai,5.671833,8.217545,Rural,,,
Abini,5.692899,8.060833,Rural,,,
Etara,5.785176,8.512908,Rural,,,
Obuton,5.705073,8.432092,Rural,,,
Kouagna,-2.244322,11.557079,Rural,,,
Dibouka,-1.308927,12.239579,Rural,,,
Nkawkaw,6.551904,-0.765351,Rural,,,
Atibie,6.58557,-0.734384,Rural,,,
Obo,6.608049,-0.775479,Rural,,,
Takorowatwen,6.910877,-0.415914,Rural,,,
Airmadidi,1.425699,124.979969,Rural,,,
Kawangkoan,1.202232,124.789128,Rural,,,
Langowan,1.126428,124.807735,Rural,,,
Amurang,1.160364,124.583735,Rural,,,
Motoling,1.040058,124.476236,Rural,,,
Walikale,-1.429291,28.075301,Rural,,,
